"Code insee de la commune";"Libellé de la commune";"Motorisation du véhicule";"Vignette Crit'air du véhicule";"Statut de l'utilisateur ";"Groupe du véhicule";"Catégorie du véhicule";"parc au 1er janvier 2011";"parc au 1er janvier 2012";"parc au 1er janvier 2013";"parc au 1er janvier 2014";"parc au 1er janvier 2015";"parc au 1er janvier 2016";"parc au 1er janvier 2017";"parc au 1er janvier 2018";"parc au 1er janvier 2019";"parc au 1er janvier 2020";"parc au 1er janvier 2021";"parc au 1er janvier 2022";"parc au 1er janvier 2023";"parc au 1er janvier 2024";"parc au 1er janvier 2025"
"COMMUNE_CODE";"COMMUNE_NOM";"CARBURANT";"CRIT_AIR";"STATUT_UTILISATEUR";"GROUPE";"CATEGORIE";"PARC_2011";"PARC_2012";"PARC_2013";"PARC_2014";"PARC_2015";"PARC_2016";"PARC_2017";"PARC_2018";"PARC_2019";"PARC_2020";"PARC_2021";"PARC_2022";"PARC_2023";"PARC_2024";"PARC_2025"
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"PL";"AUTREPL";1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Professionel";"PL";"AUTREPL";1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Particulier";"PL";"AUTREPL";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Particulier";"PL";"AUTREPL";3;3;3;3;3;2;2;1;1;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"PL";"AUTREPL";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Essence";"Non classé";"Particulier";"PL";"CAMION";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Particulier";"PL";"CAMION";4;3;3;3;2;0;0;0;0;0;1;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"PL";"CAMION";32;23;18;17;16;14;13;11;10;7;8;7;5;4;6
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"PL";"CAMION";21;17;16;14;15;13;10;7;5;4;3;2;1;0;1
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Particulier";"PL";"TRACTEUR";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Professionel";"PL";"TRACTEUR";2;1;1;2;1;1;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Particulier";"PL";"TRACTEUR";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"PL";"TRACTEUR";14;10;8;5;4;3;3;4;4;2;1;1;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"PL";"TRACTEUR";6;4;3;2;3;3;2;1;2;1;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Professionel";"TCP";"BUS";1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"TCP";"BUS";1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"TCP";"CAR";4;4;5;3;3;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"TCP";"CAR";4;4;3;3;2;2;1;1;0;0;0;0;0;0;0
"00000";"Inconnu";"Gaz";"Crit'Air 1";"Particulier";"VUL";"CAMTTE";1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 2";"Particulier";"VUL";"CAMTTE";0;2;2;3;3;2;2;1;2;27;50;57;54;44;39
"00000";"Inconnu";"Essence";"Crit'Air 3";"Particulier";"VUL";"CAMTTE";1;1;1;1;1;1;0;0;1;1;2;1;1;1;1
"00000";"Inconnu";"Gaz";"Crit'Air 1";"Professionel";"VUL";"CAMTTE";2;3;2;2;2;1;1;1;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Professionel";"VUL";"CAMTTE";8;49;64;56;43;33;21;17;13;16;16;9;10;8;8
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Particulier";"VUL";"CAMTTE";16;32;26;18;16;15;10;9;10;14;19;27;16;16;16
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Professionel";"VUL";"CAMTTE";24;22;21;19;20;19;15;11;9;5;2;1;1;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Particulier";"VUL";"CAMTTE";25;20;14;11;10;9;6;5;4;8;13;11;5;4;4
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Professionel";"VUL";"CAMTTE";11;9;10;11;9;9;8;5;4;6;1;0;1;1;0
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Particulier";"VUL";"CAMTTE";19;16;12;9;5;6;5;2;2;5;3;1;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"VUL";"CAMTTE";317;279;224;205;197;175;143;128;110;70;56;56;52;41;38
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"VUL";"CAMTTE";107;83;69;68;59;47;44;36;34;28;26;22;22;15;14
"00000";"Inconnu";"Essence";"Non classé";"Professionel";"VUL";"CAMTTE";92;83;71;62;60;49;47;38;32;19;17;15;11;14;12
"00000";"Inconnu";"Essence";"Non classé";"Particulier";"VUL";"CAMTTE";17;10;6;4;5;5;3;4;6;2;2;3;2;3;3
"00000";"Inconnu";"Essence";"Crit'Air 3";"Professionel";"VUL";"DERIVP";1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 2";"Professionel";"VUL";"DERIVP";0;20;24;24;21;15;15;11;13;16;10;9;7;5;4
"00000";"Inconnu";"Diesel";"Crit'Air 2";"Particulier";"VUL";"DERIVP";0;10;1;1;1;1;1;1;1;4;3;3;5;3;4
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Professionel";"VUL";"DERIVP";2;31;38;31;26;22;15;11;8;3;3;1;1;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Particulier";"VUL";"DERIVP";4;109;6;6;3;1;1;1;1;0;2;1;1;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Professionel";"VUL";"DERIVP";1;0;0;0;0;0;1;0;0;0;1;1;1;1;1
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Particulier";"VUL";"DERIVP";6;5;3;3;2;2;0;1;0;1;2;1;0;0;1
"00000";"Inconnu";"Diesel";"Crit'Air 5";"Professionel";"VUL";"DERIVP";2;2;1;1;1;1;1;1;1;1;1;1;0;0;0
"00000";"Inconnu";"Diesel";"Non classé";"Professionel";"VUL";"DERIVP";52;46;38;27;24;19;17;14;10;8;4;2;1;2;1
"00000";"Inconnu";"Diesel";"Non classé";"Particulier";"VUL";"DERIVP";16;17;11;7;3;3;3;2;2;1;1;0;0;0;0
"00000";"Inconnu";"Essence";"Non classé";"Professionel";"VUL";"DERIVP";8;9;8;6;5;5;4;2;1;1;0;0;0;1;1
"00000";"Inconnu";"Essence";"Non classé";"Particulier";"VUL";"DERIVP";2;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 2";"Particulier";"VUL";"CAMPCAR";1;1;1;1;0;0;0;0;0;3;3;2;3;3;2
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Professionel";"VUL";"CAMPCAR";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 3";"Particulier";"VUL";"CAMPCAR";1;1;1;1;1;1;1;1;1;0;1;0;1;1;0
"00000";"Inconnu";"Gaz";"Crit'Air 1";"Professionel";"VUL";"CAMPCAR";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"00000";"Inconnu";"Diesel";"Crit'Air 4";"Particulier";"VUL";"CAMPCAR";2;2;2;2;2;2;2;1;1;2;1;1;1;1;0
